gameid,type,checkedTeamId,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,TOV,STL,BLK,PF,statsId
29600166,1,1610612741,37,82,8,24,18,21,11,30,41,11,4,3,23,331
29600166,1,1610612762,39,74,6,11,21,28,7,31,38,9,7,4,24,332
29600167,1,1610612744,44,75,11,17,16,20,2,32,34,20,6,5,31,333
29600167,1,1610612745,38,89,9,30,35,47,18,28,46,13,14,2,25,334
29600168,1,1610612743,20,73,1,20,24,32,6,20,26,17,11,2,22,335
29600168,1,1610612757,40,76,10,23,15,23,13,40,53,21,6,7,25,336
29600169,1,1610612738,38,70,6,12,23,32,7,27,34,21,7,6,25,337
29600169,1,1610612742,35,78,1,10,20,30,11,24,35,18,10,3,29,338
29600170,1,1610612752,30,74,8,17,24,26,14,31,45,21,5,5,26,339
29600170,1,1610612760,35,73,7,19,25,31,8,26,34,15,7,6,22,340
29600171,1,1610612739,41,81,7,14,14,18,12,35,47,11,6,6,21,341
29600171,1,1610612758,24,68,4,11,22,29,8,27,35,14,4,3,20,342
29600172,1,1610612748,33,80,7,24,14,19,14,34,48,20,6,3,33,343
29600172,1,1610612756,24,68,2,12,34,38,6,28,34,14,8,7,25,344
29600173,1,1610612745,28,67,10,27,24,31,12,25,37,17,4,1,23,345
29600173,1,1610612747,31,74,9,21,14,25,11,25,36,13,8,2,23,346
29600174,1,1610612759,30,76,5,24,26,33,19,28,47,18,5,2,19,347
29600174,1,1610612637,38,70,6,17,14,24,4,26,30,11,9,3,24,348
29600175,1,1610612750,36,86,8,19,18,23,16,33,49,21,3,7,29,349
29600175,1,1610612764,38,81,5,11,24,33,8,32,40,13,7,5,22,350
29600176,1,1610612749,38,77,1,1,23,33,15,35,50,13,7,4,23,351
29600176,1,1610612753,32,79,6,19,18,27,12,26,38,12,3,4,25,352
